Dish Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (Âµg),MealType,Category
Shahi paneer,156.5,6.64,5.06,12.34,5.01,1.4,215.35,125.38,0.62,30.83,78.58,Lunch/Dinner,Indian Meal
Paneer in butter sauce,145.61,9.7,6.99,8.81,7.49,1.5,151.45,170.59,0.85,18.02,64.79,Lunch/Dinner,Indian Meal
Methi malai paneer,194.98,8.15,7.34,14.76,6,1.47,221.16,183.96,0.77,13.6,73.86,Lunch/Dinner,Indian Meal
Chilli paneer,777.51,3.31,2.1,84.01,1.5,0.5,89.04,42.9,0.36,4.87,28.7,Lunch/Dinner,Indian Meal
Paneer makhana korma,775.82,4.63,3.24,82.76,1.84,0.21,77.01,72.89,0.55,0.64,94.26,Lunch/Dinner,Indian Meal
Kadhai Paneer,107.99,7.34,4.33,6.81,5.54,2.07,144.33,91.53,0.65,85.83,117.12,Lunch/Dinner,Indian Meal
Roghan josh,139.59,4.93,9.56,9.02,2.66,2.08,204.31,112.33,1.77,12.41,36.34,Other,Misc
Spinach mutton (Palak mutton),80.32,3.45,5.74,4.71,1.42,2.23,121.1,96.88,2.38,88.11,391.34,Other,Misc
Pea keema curry (Matar keema ki sabzi),133,6.24,8.43,8.14,1.82,2.96,148.38,35.6,1.35,55.62,85.14,Lunch/Dinner,Indian Meal
Keema kofta curry,154.45,5.64,9.77,10.39,2.14,1.51,311.51,49.89,1.25,2.43,6.6,Lunch/Dinner,Misc
Kashmiri mutton koftas (Gushtaba),97.42,3.04,6.33,6.77,2.13,0.62,130.11,52.53,0.85,3.22,22.46,Other,Misc
Mutton yakhni,104.13,0.84,8.27,7.7,0.13,0.67,101.02,88.61,1.66,0.09,6.51,Other,Misc
Chicken yakhni,99,0.78,10.66,6.1,0.12,0.62,97.38,28.24,0.93,0.09,13.24,Other,Misc
Mutton do piaza,183.3,4.14,9.39,14.41,2.9,1.93,118.62,118.61,1.63,7.42,67.3,Other,Misc
Mutton chops,663.64,1.48,4.03,71.31,0.42,0.17,51.03,36.18,0.64,3.75,16.68,Other,Misc
Shammi kebab,685.69,3.54,4.52,72.61,0.31,1.05,54.27,13.11,0.75,1.64,20.55,Other,Misc
Scotch egg,676.89,1.91,4.05,72.62,0.3,0.36,90.67,15.03,0.6,2.59,30.63,Other,Misc
Shepherd's pie (with minced meat),142.78,8.06,7.45,8.88,1.7,1.05,197.25,21.3,0.84,19.35,21.04,Other,Misc
Chicken curry,129.22,3.38,11.79,7.57,1.79,1.41,108,27.29,0.87,16.79,38.7,Lunch/Dinner,Misc
Tandoori chicken,145.2,2.34,16.26,7.93,1.58,0.5,158,44.33,0.9,39.53,182.73,Other,Misc
Butter chicken,137,3.74,10.92,8.7,2.37,1.32,26.21,25.28,0.92,32.65,40.85,Other,Misc
Chicken kebab,729.41,1.11,3.71,78.89,0.24,0.21,69.76,3.46,0.28,0.41,3.83,Other,Misc
Chilli chicken,198.83,2.86,9.57,16.56,0.93,0.99,223.75,12.97,0.66,55.19,51.55,Other,Misc
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),125.03,2.51,11.48,7.61,1.16,1.13,107.56,16.09,0.64,10.78,17.41,Other,Misc
Fish curry (Machli curry),111.13,3.77,8.76,6.69,2.02,1.89,184.71,52.06,1.09,22.48,40.45,Lunch/Dinner,Misc
Fried fish (Indian style) (Tali hui machli),658.54,5.4,4.35,68.88,0.4,0.61,156.94,11.11,0.56,7.22,35.19,Other,Misc
Fried fish and Chips (English Style) (Tali hui machli aur chips),651.75,2.77,3.36,69.69,0.17,0.29,72.73,6.56,0.26,22.16,31.65,Other,Misc
Tomato fish,489.79,3.18,2.39,51.91,1.35,0.72,91.47,6.46,0.24,75.09,76.88,Other,Misc
Baked fish with cheese sauce,113.96,4.06,8.64,7.02,3.22,0.08,209.48,115.64,0.26,9.97,29.36,Other,Misc
Fish tikka,117.33,3.91,16,4.15,1.18,1.18,503.44,31.98,1.41,0.9,4.62,Other,Misc
Tandoori fish,95.98,2.37,11.19,4.64,1.6,0.58,123.94,37.27,0.46,19.66,27.55,Other,Misc
"Paneer, apple and pineapple salad",95.08,8.35,3.88,5.07,6.36,1.65,176.63,103.05,0.84,25.3,67.13,Lunch/Dinner,Salad
Russian salad,114.83,6.5,4.26,7.84,1.66,2.57,101.09,34.92,1.23,49.56,104.32,Snack,Salad
Pasta salad,190.36,12.7,4.15,13.92,2.6,0.96,152.31,66.74,0.81,38.78,56.54,Snack,Salad
Deviled egg,98.56,2.23,4.97,7.72,0.82,1.15,117.29,36.84,1.51,18.42,48.39,Other,Misc
Hawain salad,175.23,14.35,4.27,11.37,5.24,3.93,64.92,61.03,1.12,51.75,123.62,Snack,Salad
Mixed pulse and vegetable salad,83.12,13.96,4.74,0.84,1.36,2.96,127.78,51.63,2.13,23.82,105.59,Snack,Salad
Sprouted moong salad,37.81,5.48,2.29,0.74,2.13,0.95,116.38,54.56,1.45,27.84,49.76,Snack,Salad
Tossed salad,62.96,4.95,1.02,4.22,1.56,2.15,77.5,32.37,0.86,85.7,99.67,Snack,Salad
Mixed vegetable salad with curd sauce,60.28,7.03,4.23,1.5,2.16,3.79,116.66,65.51,1.35,37.73,86.34,Snack,Salad
Potato salad (Aloo ka salaad),89.91,11.19,1.4,4.4,3.94,1.32,125.01,25.61,0.99,58.78,52.72,Snack,Salad
Waldroff salad,141.75,11.02,1.47,10.05,8.23,1.87,13.42,29.29,1.07,21.43,40.62,Snack,Salad
Coleslaw,76.71,5.59,1.24,5.32,3.62,2.34,29.87,37,0.63,22.99,41.98,Other,Misc
Fruit salad (Phalon ka salaad),78.14,15.96,0.91,1.22,9.78,1.58,7.11,25.93,0.81,52.45,45.4,Snack,Fruit
Tomato onion raita (Tamatar aur pyaaz ka raita),59,7.08,3.74,1.84,5.98,0.97,165.21,120.62,0.26,15.04,34.77,Other,Misc
Peanut raita (Mungfali ka raita),150.39,9.3,8.59,8.98,7.11,1.89,235.83,174.6,0.74,2.59,36.67,Other,Misc
Sprouted moong raita,60.89,6.13,4.62,2.19,5.59,0.16,189.2,139.44,0.86,3.59,27,Other,Misc
Bottle gourd raita (Ghiya/Lauki ka raita),56.31,5.76,3.98,2.07,5.25,0.85,188.37,138.26,0.23,4.76,39.49,Other,Misc
Cucumber raita (Kheere ka raita),59.13,6.35,4.04,2.08,5.22,0.86,189.96,138.58,0.29,5.65,26.92,Other,Misc
Carrot and spinach raita (Gajar aur palak ka raita),56.83,5.83,4,1.99,4.93,1.39,180.79,142.57,1.04,19.29,95.51,Other,Misc
Mint raita (Pudinay ka raita),77.59,7.65,5.64,2.96,7.48,0.34,274.38,198.22,0.37,2.94,20.62,Other,Misc
Potato raita (Aloo ka raita),75.38,10.24,4.22,2.04,5.08,0.75,183.37,132.31,0.34,15.33,27.03,Other,Misc
Boondi raita,687.72,3.96,2.19,73.83,1.88,0.46,99.18,49,0.24,0.77,37.83,Other,Misc
Sweet raita (Meetha raita),99.24,17.93,3.24,1.78,15.36,1.02,42.98,108.91,0.21,5.2,24.9,Other,Misc
Dahi vadas/Dahi bhalla,667.73,5.49,2.96,70.4,1.78,0.97,79,49.03,0.49,0.57,18.3,Other,Misc
Gunjia,667.34,5.68,2.98,70.28,2.05,1.13,77.9,48.16,0.5,0.51,19.06,Other,Misc
Saunth/Sonth chutney with tamarind/imli,141.53,33.55,1.01,0.15,31.31,0.93,244.38,54.74,2.71,0.09,0.99,Other,Misc
Rice kheer (Chawal ki kheer),75.03,10.05,2.3,2.97,8.02,0.17,16.24,75.57,0.17,5.06,19.54,Lunch/Dinner,Indian Meal
Makhana kheer,107.85,12.88,3.31,5,11.54,0.11,23.4,111.64,0.28,5.06,23.77,Other,Misc
Vermicelli kheer (Semiya/Seviyan ki kheer),120.07,15.87,3.35,5,12.79,0.5,22.52,104.8,0.3,4.06,16.29,Other,Misc
Semolina kheer (Suji/Rava kheer),113.21,15.88,3.43,4.2,12.88,0.51,22.66,105.99,0.34,4.06,17.54,Other,Misc
Paneer kheer,105.31,10.03,4.53,5.37,9.87,0.07,23.81,144.66,0.26,5.06,41.81,Lunch/Dinner,Indian Meal
Cabbage kheer (Pattagobhi ki kheer),83.51,9.73,2.87,3.8,9.28,0.51,22.67,102.74,0.24,17.36,33.51,Other,Misc
Carrot kheer (Gajar ki kheer),85.35,10.09,2.81,3.85,9.63,0.73,28.54,100.12,0.28,6.54,24.59,Other,Misc
Cauliflower kheer (Phoolgobhi ki kheer),81.95,8.78,3.04,3.95,8.49,0.55,25.19,101.75,0.3,23.92,36.87,Other,Misc
Moong dal kheer,77.16,9.89,2.95,2.97,7.92,0.4,16.34,75.66,0.28,5.06,32.3,Lunch/Dinner,Indian Meal
Phirni,116.12,16.11,3.49,4.34,10.79,0.36,22.47,104.57,0.23,5.04,20.33,Other,Misc
Semolina halwa (Suji ka halwa),225.65,24.67,2.16,13.38,13.98,1.86,1.28,11.77,0.65,0.05,7.96,Other,Misc
Shahi suji halwa,382.34,44.44,3.48,21.73,27.21,2.96,2.18,18.64,0.98,0.02,7.46,Other,Misc
Carrot halwa (Gajar ka halwa),172.64,18.53,3.11,9.73,16.85,2.65,39.96,106.94,0.76,6.53,44.8,Other,Misc
Egg halwa (Ande ka halwa),299.74,39.59,7.85,13.41,37.85,0.49,83.04,35.77,1.45,0,24.67,Other,Misc
Potato halwa (Aloo ka halwa),151.66,29.18,1.53,3.48,17.42,1.64,4.23,14.15,0.63,28.98,20.72,Other,Misc
Pumpkin halwa (Kaddu ka halwa),190.27,27.6,1.33,8.81,26.64,2.97,8.09,24.34,0.63,8.08,27.9,Other,Misc
Moong dal halwa,349.8,40.23,8.35,17.68,25.59,2.65,11.19,110.4,1.51,0.03,34.53,Lunch/Dinner,Indian Meal
Caramel custard (steamed),121.58,15.02,4.97,4.87,14.98,0,43.57,88.12,0.51,3.02,35.21,Drink,Beverage
Baked custard,106.53,9.45,5.41,5.3,9.42,0,47.13,95.32,0.54,3.02,35.21,Other,Misc
Soft Custard (stirred),109.18,11.19,5.01,5.07,11.15,0,122.17,95.82,0.49,3.62,37.31,Other,Misc
Chocolate ice cream,177.7,15.41,4.47,11.25,15.33,0,36.79,84.24,0.47,4.06,43.75,Other,Misc
Mango ice cream,125.69,11.14,3.4,7.62,11.01,0.52,29.13,67.17,0.39,44.98,142.26,Other,Misc
Fruit Ice cream (Phalon ka Ice cream),171.46,16.05,4.37,10.38,14.03,0.33,38.78,93.35,0.36,4.02,15.6,Snack,Fruit
Caramel ice cream,173.52,14.81,4.31,11.15,14.52,0.08,33.47,87.32,0.35,3.27,25.96,Other,Misc
Lemon souffle,168.51,13.43,6.95,10.02,11.67,0,50.73,59.81,0.56,12.9,32.11,Other,Misc
Orange souffle,168.28,14.2,6.8,9.73,12.31,0.22,49.22,59.04,0.65,19.16,37.93,Other,Misc
Vanilla souffle,187.85,14.78,7.71,11.19,12.86,0,56.73,70.6,0.58,1.3,30.71,Other,Misc
Chocolate souffle,189.32,14.74,7.88,11.36,12.69,0,56.07,71.55,0.71,1.3,31.85,Other,Misc
Pineapple souffle,196.14,15.52,8.06,11.72,13.45,0,59.17,67.23,0.61,1,29.66,Other,Misc
Apple mousse,106.92,12.77,4.21,4.27,10.56,1.6,28.79,33.76,0.48,14.48,35.22,Other,Misc
Rich chocolate mousse,188.26,10.84,7.96,12.19,10.3,0,51.71,54.59,0.97,0.7,31.64,Other,Misc
Mango mousse,124.98,9.14,3.21,8.47,8.89,0.88,19.62,51.38,0.35,42.76,110.68,Other,Misc
Orange and pineapple cream,101.18,11.96,1.44,5.43,11.37,1.03,10.17,35,0.41,19.89,10.56,Other,Misc
Charlotte rousse,188.29,34.08,3.95,4.78,20.48,1.01,56.45,34.95,0.53,25.28,28.72,Other,Misc
Triffle pudding,116.97,18.24,2.93,3.93,13.89,0.12,26.95,48.72,0.47,19.31,28.71,Other,Misc
Snow flakes pudding,95.21,8.07,4.67,4.97,8.01,0.03,39.6,101.33,0.42,5.47,42.48,Other,Misc
Kulfi,98.43,11.3,3.21,4.7,10.39,0.12,23.97,111.86,0.2,5.04,18.69,Other,Misc
Steamed orange pudding,278.03,41.53,2.34,12.04,26.53,0.58,79.1,21.15,0.55,21.74,15.92,Drink,Beverage
Meringue and rice pudding,112.93,14.6,4.84,4.05,10.87,0.17,44.16,85.43,0.37,3.02,24.69,Lunch/Dinner,Indian Meal
Cheese pudding,285.01,19.27,11.29,18.37,18.63,0.05,37.83,226.11,0.87,0.3,60.43,Other,Misc
Chocolate pudding,211.96,29.59,3.55,9.48,20.68,0.53,171.36,64.56,0.6,0.75,18.08,Other,Misc
Bread and butter pudding,167.94,19.63,5.59,7.88,11.84,0.98,96.3,105.54,0.9,1.58,21.41,Other,Misc
Queen of pudding,132.92,16.35,5.51,5.38,11.77,0.27,85.59,78.26,0.53,8.11,46.64,Other,Misc
Pineapple upside down pudding,257.73,35.73,3.15,11.91,22.16,0.8,74.52,26.05,0.68,9.66,15.44,Other,Misc
Date and nut pie,322.42,46.86,3.93,13.31,31.18,4.13,3.87,34.69,1.54,6.39,32.22,Other,Misc
Stewed apple with custard,92.87,18.36,1.27,1.82,15.46,1.01,16.66,49.24,0.18,5.6,10.2,Other,Misc
Apple snowballs,101.51,24.58,0.86,0.31,19.4,1.25,12.8,9.43,0.18,4.46,4.64,Other,Misc
Hot orange souffle,179.97,18.77,6.87,8.95,14.93,0.29,58.8,53.81,1.03,7.01,30.66,Other,Misc
Hot chocolate souffle,226.09,26.21,6.7,11.1,22.88,0.12,54.11,60.19,1.08,0.9,30.6,Other,Misc
Hot vanilla souffle,192.93,21.77,6.87,9.07,18.17,0.13,59.59,63.2,0.93,0.9,28.8,Other,Misc
Plain burfi (Burfi),408.32,30.88,9.82,27.96,30.43,0.17,31.65,355.78,1.5,0.05,23.94,Other,Misc
Coconut burfi (Nariyal ki burfi),467.64,32.15,8.81,34.63,31.5,3.5,27.63,272.81,1.82,0,26.6,Other,Misc
Bottle gourd burfi (Ghiya/Lauki burfi),275.96,24.51,5.86,17.68,23.92,0.73,18.15,215.85,0.93,1.08,34.06,Other,Misc
Chocolate burfi,339.33,33.15,13,17.86,32.38,0,39.32,466.48,2.12,0,23.85,Other,Misc
Cashewnut burfi (Kaju burfi/Kaju katli),421.74,37.92,5.48,28.46,31.43,1.12,4.23,12.95,1.79,0,2.1,Other,Misc
Gram flour burfi (Besan burfi),421.79,46.59,11.19,22.41,28.44,3.41,13.02,160.71,1.47,0,32.38,Other,Misc
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),428.71,52.86,6.71,21.86,33.28,4.68,14.4,106.42,1.73,0.03,7.1,Other,Misc
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),464.43,50.9,5.68,27.03,27.32,6.69,9.06,26.72,1.83,0.05,5.21,Other,Misc
Gram flour ladoo (Besan ladoo),476.91,62.61,8.93,22.76,37.76,4.43,5.48,25.35,1.51,0,24.79,Other,Misc
Sesame ladoo (Til ke ladoo),396.96,43.5,10.7,19.64,38.63,7.72,18.55,631.82,8.94,0,18.17,Other,Misc
Chenna murki,252.69,36.01,10.46,8.2,35.55,0,11.4,266.85,0.55,0,46.65,Other,Misc
Milk cake,127.41,9.13,3.01,8.93,8.9,0.06,24.97,104.94,0.2,8,18.19,Drink,Beverage
Ghujia/Lavang latika,768.98,13,1.86,78.93,6.08,0.52,3.28,31.01,0.44,0.01,6.86,Other,Misc
Gulab Jamun with khoya,586.06,26.09,2.03,53.23,24.12,0.07,15.09,67.32,0.39,0.02,16.44,Other,Misc
Mal pua,566.68,17.56,1.71,54.64,11.77,0.62,6.35,30.05,0.33,0.67,5.3,Other,Misc
Shahi tukre,189.81,41.46,2.76,2.54,34.7,0.51,71.04,76.47,0.37,0.86,7.61,Other,Misc
Potato pakora/pakoda (Aloo pakoda),677.19,6.04,1.9,71.84,0.22,1.03,63.38,6.59,0.38,18.53,109.12,Other,Misc
Onion pakora/pakoda (Pyaaz ke pakode),674.61,5.41,1.9,71.84,0.88,1.11,63.55,7.95,0.36,5.36,119.81,Other,Misc
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),671.63,4.52,1.98,71.86,0.23,1.26,66.54,8.44,0.42,37.72,133.47,Other,Misc
Mixed vegetable pakora/pakoda,673.81,5.12,1.94,71.86,0.38,1.13,65.35,9.55,0.46,21.46,143.18,Other,Misc
Spinach pakora/pakoda (Palak pakoda),712.62,4.68,1.96,76.38,0.2,1.02,69.54,10.99,0.52,12.12,153.51,Other,Misc
Methi pakora/pakoda (Methi ke pakode),713.25,4.68,2.06,76.39,0.25,1.18,69.83,23.07,0.69,23.31,126.81,Other,Misc
Egg pakora/pakoda (Ande ke pakode),710.51,4.48,2.83,75.86,0.19,0.86,75.37,9.55,0.47,0.01,121.37,Other,Misc
Bread pakora/pakoda,710.99,8.87,2.57,74.2,0.46,1.11,101.49,19.83,0.46,0.01,114.11,Other,Misc
Paneer pakora/pakoda,718.12,5.52,3.27,76.05,1.08,0.89,131.7,43.38,0.43,0.07,143.43,Lunch/Dinner,Indian Meal
Potato bonda (Aloo bonda),632.84,4.53,1.09,67.8,0.27,0.83,132.53,6.79,0.37,8.96,16.02,Other,Misc
Potato samosa (Aloo ka samosa),577.39,9.21,1.71,59.19,0.29,1.19,77.1,7.63,0.5,11.27,12.8,Other,Misc
Minced meat samosa (Keema ka samosa),620.99,6.14,4.43,64.26,0.5,0.39,88.64,6.7,0.55,0.82,4.62,Other,Misc
Paneer and pea samosa (Paneer matar ka samosa),623.81,8.55,4.02,63.65,1.69,1.02,78.18,64.56,0.53,6.67,26.39,Lunch/Dinner,Indian Meal
Mathri,805.12,12.32,1.75,83.1,0.29,0.6,64.7,5.23,0.43,0,2.38,Other,Misc
Khasta kachori,712.73,12.81,2.51,72.27,0.34,0.97,90.56,7.84,0.59,0.86,6.38,Other,Misc
Vegetable cutlet,665.45,4.68,1.25,71.33,0.35,0.93,85.38,13.55,0.4,16.89,30.52,Other,Misc
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),701.71,7.39,1.76,73.89,0.27,0.86,76.65,9.17,0.59,12.63,23.98,Breakfast,Indian Meal
Peanut cutlet (Mungfali ke cutlet),698.77,5.68,2.63,74,0.51,1.21,84.24,14.38,0.56,12.63,38.52,Other,Misc
Fish cutlet (Machli ka cutlet),654.64,3.13,2.77,70.11,0.29,0.54,75.33,10.44,0.36,10.46,19.06,Other,Misc
Paneer potato cutlet (Paneer aloo cutlet),672.94,5.23,2.47,71.4,1.02,0.41,85.71,45.36,0.38,11.61,41.52,Lunch/Dinner,Indian Meal
Spinach chickpeas cutlet (Palak channa dal cutlet),688.03,4.93,1.44,73.6,0.16,0.93,79.13,11.3,0.57,16.18,49.07,Lunch/Dinner,Indian Meal
Cheese toast,785.37,5.49,1.98,84.11,0.53,0.31,121.05,43.87,0.31,0,6.85,Breakfast,Misc
Vegetable burger,519.93,13.69,3.26,50.63,1.88,1.7,168.97,26.08,0.7,24.68,40.96,Other,Misc
Cheese pizza,249.5,30.62,5.79,12.43,3.42,1.95,397.73,96.51,1.09,6.72,15.85,Other,Misc
Vegetable seekh kebab,690.73,5.32,1.57,73.72,0.74,0.59,83.67,32.66,0.36,6.86,13.84,Other,Misc
Masala vada,826.02,4.06,1.69,89.15,0.24,1.07,74.53,7.45,0.52,2.05,32.14,Other,Misc
Peanut sago vada (Sabudana mungfali vada),749.89,7.14,1.01,79.82,0.19,0.62,71.29,5.03,0.38,9.74,15.66,Other,Misc
Vegeterian scotch egg,681.67,4.64,2.16,72.77,0.23,0.58,93.33,15.2,0.46,12.53,32.4,Other,Misc
Paneer shaslik/tikka,93.85,7.98,5.11,4.49,4.61,1.23,103.39,123.86,0.68,107.71,174.74,Lunch/Dinner,Indian Meal
Peanut brittle (Moongfali ki chikki),320.46,47.46,6.94,11.13,43.92,2.63,15.99,68.03,3.22,0,7.48,Other,Misc
Spring roll,623.87,8.56,1.81,64.63,0.6,0.67,132.84,9.51,0.49,4.59,9.59,Other,Misc
Dry mango chutney (Sookhe aam ki chutney),298.13,69.17,2.43,0.7,61.86,3.74,437.91,72.05,3.98,0.25,5.17,Other,Misc
Peanut chutney (Mungfali ki chutney),258.37,9.87,11.8,19.06,2.76,5.73,475.34,34.79,1.99,4.2,10.14,Other,Misc
Coconut chutney (Nariyal ki chutney),265.92,8.29,3.59,25,3.79,6.73,428.28,15.7,1.25,4.13,4.74,Other,Misc
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),102.6,21.18,2.81,0.51,15.88,4.33,391.66,107.45,4.76,3.62,10.89,Other,Misc
Custard tart,225.6,28.66,3.72,10.73,9.31,0.91,59.74,57.47,0.49,1.18,5.64,Other,Misc
Lemon tart,303.35,30.68,6.12,17.45,10.68,0.81,76.09,24.03,0.98,2.66,9.19,Other,Misc
Jam tart,360.72,46.18,4.42,17.35,14.74,1.14,70.34,12.23,0.74,0,2.44,Other,Misc
Orange cream tart,197.16,27.43,2.58,8.72,10.08,0.64,36.85,13.84,0.58,19.6,13.7,Other,Misc
Pineapple tart,195.4,28.62,2.29,8.21,11.09,0.87,37.88,12.02,0.5,6.85,6.84,Other,Misc
Cheese and mushroom tart,246.1,21.43,5.51,15.28,3.16,1.18,212.42,100.97,0.59,6.53,7.96,Other,Misc
Cottage cheese pie,238.98,20.66,7.45,13.83,3.62,2.21,103.29,108.05,0.92,36.25,124.39,Other,Misc
Minced meat pie,221.55,18.11,7.38,13.04,1.42,2.33,127.85,18.14,1.07,37.52,69.49,Other,Misc
Apple cinnamon pie,258.73,33.68,3.35,12.21,11.95,1.77,60.14,16.14,0.65,2.24,11.58,Other,Misc
Lemon meringue pie,224.43,35.11,3.88,8.16,21.17,0.44,85.12,16.79,0.67,5.1,17.48,Other,Misc
Chocolate meringue pie,214.76,28.8,4.98,9.17,15.03,0.37,80.77,55.98,0.92,1.26,23.21,Other,Misc
Cream puffs,221.33,16,4.7,15.48,5.94,0.38,98.76,37.93,0.58,0.2,8.79,Other,Misc
Chocolate eclairs,239.42,26.22,4.24,13.5,17.34,0.33,85.88,34.21,0.68,0.4,18.34,Other,Misc
Cheese balls,681.28,4.81,2.21,72.57,0.63,0.18,120.7,30.01,0.32,0.01,2.95,Other,Misc
Minced meat patties,265.72,15.25,6.88,19.57,0.88,0.77,252.18,19.23,0.93,1.58,16.37,Other,Misc
Cheese patties,324.01,22.23,7.38,22.67,3.93,1.24,295.22,126.41,0.82,3.37,31.43,Other,Misc
Hot cheese souffle,177.1,5.41,9.18,13.23,2.91,0.12,286.96,169.17,0.83,2.41,66.94,Other,Misc
Hot potato souffle,125.64,8.56,5.51,7.64,1.78,0.66,97.2,56.84,0.79,30.19,78.05,Other,Misc
Hot fish souffle,142.92,3.69,11.23,9.24,1.68,0.1,110.94,58.18,0.7,2.41,70.97,Other,Misc
Hot spinach souffle,104.25,4.19,5.43,7.24,1.64,0.99,104.69,80.77,1.67,47.83,272.44,Other,Misc
Plain cream cake,353.94,47.18,6.18,16.17,27.74,0.71,174,41.95,1.02,0.08,8.66,Other,Misc
Apple cake (Seb ka cake),290.08,39.48,4.94,12.87,23.52,1.22,136.95,38.99,0.9,1.16,9.32,Other,Misc
Marble cake,354.11,46.88,6.3,16.27,27.56,0.71,138.48,39.6,1.12,0.08,8.85,Other,Misc
Chocolate cake,335.61,45.14,6.01,15.18,27.58,0.64,241.93,41.13,1.08,0.15,9.21,Other,Misc
Orange cake,357.61,48.28,6.1,16.21,28.38,0.83,105.41,29.72,1.06,1.88,9.25,Other,Misc
Fruit Loaf,324.19,46.49,5.36,13.31,24.54,0.87,160.6,45.71,0.96,2.47,7.82,Snack,Fruit
Banana cake (Kele ka cake),389.51,40,5.77,23.31,23.04,1.14,117.81,23.55,1.14,0.98,11.33,Other,Misc
Chocolate chiffon cake,311.71,37.87,5.76,15.8,24.25,0.7,188.59,42.15,1.07,0.21,12,Other,Misc
Christmas cake,372.95,48.29,5.49,16.88,27.45,1.49,64.84,40.98,1.32,8.51,17.06,Other,Misc
Strawberry and vanilla cake with butter icing,370.54,44.25,3.89,20.39,32.43,0.79,107.27,28.17,0.7,8.4,12.8,Other,Misc
Eggless cake,318.08,46.14,8.12,11.75,27.7,0.68,310.5,212.97,0.61,1.35,7.58,Other,Misc
Swiss roll,251.87,48.34,7.3,3.77,32.96,0.55,51.9,24.11,1.19,0,14.36,Other,Misc
Pineapple pastry,208.21,29.04,6.06,7.87,18.83,0.72,44.3,42.97,0.86,3.64,17.42,Other,Misc
Black forest pastry,233.55,34.48,6.09,8.46,21.35,0.54,53.43,44.15,0.92,0.91,16.28,Other,Misc
Coconut finger,274.86,42.56,7.09,8.86,28.55,1.87,46.86,24.04,1.31,0,15.88,Other,Misc
Pineapple cake,195.57,23.51,5.01,9.34,16.16,0.76,37.47,49.06,0.64,27.35,80.64,Other,Misc
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),424.8,47.1,6.56,23.62,22.58,1.54,280.44,36.1,1.37,0.16,4.22,Other,Misc
Chocolate chip cookies,425.29,57.98,5.79,19.38,30.29,1.05,278.29,24.76,1.22,0,2.62,Other,Misc
Sweet plain biscuit,380.76,50.29,5.86,17.67,21.77,1.07,132.59,42.88,0.92,0.03,1.7,Other,Misc
Chocolate biscuit,379.76,51.56,5.88,17.09,24.16,1.01,127.02,41.51,1.14,0.03,1.81,Other,Misc
Coconut biscuit (Nariyal ke biscuit),434.98,42.9,5.78,27.16,20.76,3.64,105.76,37.81,1.32,0.03,2.51,Other,Misc
Sweet and salty biscuit (Meethay aur namkeen biscuit),407.96,45.09,6.15,22.39,7.22,1.68,414.7,37.24,1.05,0.03,1.02,Other,Misc
Peanut biscuit,401.05,46.72,8.45,20.41,21.26,2.48,202.26,50.58,1.34,0.03,4.23,Other,Misc
Pin wheel biscuit,404.6,54.56,5.4,18.66,23.25,1.16,131.73,42.7,1.13,0.05,1.72,Other,Misc
Saffron biscuit (Kesar biscuit),458.61,59.7,6.05,22.01,22.42,1.9,5.65,25.71,1.23,0.01,1.1,Other,Misc
Masala biscuit,393.64,45.18,6.06,20.75,6.82,2.14,714.52,53.73,1.32,0.15,2.15,Other,Misc
Ice box cookies,374.24,56.09,5.7,14.44,26.69,1.28,449.14,18.5,1.04,0.1,1.64,Other,Misc
Ginger bread man,365,60.26,6.61,11.01,29.12,1.6,477.99,37.92,2.12,0.09,4.65,Other,Misc
Danish cookies,475.33,58,5.33,24.92,21.73,1.37,201.06,15.97,0.98,0,1.02,Other,Misc
Short bread cookies,443.09,64.82,6.03,17.98,23.31,1.57,145,15.92,1.12,0,1.62,Other,Misc
Coffee biscuit,416.57,46.55,6.9,23,21.69,1.59,112.53,48.92,1.27,0.03,3,Drink,Beverage
Melting moments,437.91,55.84,5.71,21.78,25,1.88,119.09,30.39,1.2,0,3.59,Other,Misc
Ginger biscuit (Adarak ke biscuit),417.91,58.44,5.98,18.31,27.06,1.49,79.68,25.97,2.2,0,1.59,Other,Misc
Soyabean muthias,839.33,3.7,2.46,90.45,0.17,1.47,78.25,12.16,0.6,0.79,22.43,Other,Misc
Soyabean tikki,698.17,4.39,3.53,74.02,0.35,2.2,88.72,29.23,1.04,6.71,57.9,Other,Misc
Soyabean namak paras,838.46,4.65,2.65,89.83,0.22,1.41,72.05,12.13,0.64,0,45.64,Other,Misc
Peanut burfi (Moongfali ki burfi),550.99,48.14,9.31,36.84,43.08,4.09,6.78,25.2,1.45,0,7.57,Other,Misc
Spinach peanut namak paras (Palak moongfali namak paras),740.16,6.62,1.65,78.51,0.28,0.81,73.15,13.35,0.67,11.39,64.2,Other,Misc
